;Présentation;Site web;Téléphone;Secteur;Taille de l’entreprise;Siège social;Fondée en;Spécialisations;Name;Url;Image
0;"Cabinet de conseil en informatique spécialisé en Big Data et Intelligence Artificielle. 

Kaisens Data vous accompagne dans vos projets de transformation numérique avec une offre de service sur mesure. 

Venez découvrir notre expertise !";http://www.kaisensdata.fr;+33 01 46 49 32 61;Services et conseil informatiques;11-50 employés;Courbevoie, Ile de France;2017;Big Data, Business Intelligence, Intelligence Artificielle, Data Science, Machine Learning, Deep Learning, NLP et Text Mining;Kaisens Data ;https://www.linkedin.com/company/18450880/about/;1845Ka
1;"Acteur international du conseil et des technologies, Keyrus a pour mission de donner du sens aux données, en révélant toute leur portée, notamment sous un angle humain.

Notre proposition de valeur est fondée sur des groupes de services aux offres multiples : 
 
. Automatisation et intelligence artificielle : nous fournissons à nos clients les moyens d'améliorer leur productivité et leur précision sur l'ensemble de leurs processus, afin de se concentrer sur le travail à plus forte valeur ajoutée. 
 
. Expérience numérique centrée sur l'humain : la relation avec les clients et l'engagement des collaborateurs constituent deux des plus grands contributeurs au succès global des entreprises. Nous aidons les entreprises à imaginer et à créer des expériences numériques multimodales et fluides pour atteindre leurs objectifs. 
 
. Mise en œuvre des données et des analyses : les données sont une clé incontestable du succès pour les entreprises. Lorsqu'elles sont utilisées intelligemment, elles ouvrent des opportunités uniques pour faire face aux défis actuels et futurs. 
 
. Cloud et sécurité : Le Cloud et les plateformes numériques ont le potentiel de révolutionner la façon dont les données sont transformées en valeur, tout en portant l'extensibilité et la flexibilité à un niveau supérieur. Nous sécurisons l’ensemble de vos données et veillons à ce qu’elles soient protégées et confidentielles.
 
. Transformation et innovation : pour prospérer dans l'écosystème actuel, chaque entreprise doit non seulement accélérer sa transformation numérique, mais aussi acquérir des compétences pour stimuler son adaptabilité, sa résilience et sa compétitivité. Nous aidons nos clients à se transformer avec succès pour développer un meilleur futur.

S'appuyant sur l'expérience cumulée de plus de 3 000 collaborateurs et présent dans 22 pays sur 4 continents, Keyrus est l'un des principaux experts internationaux en matière de données, de conseil et de technologie.";https://keyrus.com/;;Services et conseil informatiques;1 001-5 000 employés;Levallois-Perret, Cedex;1996;Management & Transformation, Data Intelligence et Digital Experience;Keyrus;https://www.linkedin.com/company/12328/about/;1232Ke
2;"Esprit Tech est une entreprise digitale (2.0 et 4.0) qui apporte des solutions de communication web pour les entreprises du secteur tertiaire ainsi que des solutions numériques dans le secteur de l'industrie notamment pour l'automatisation des chaines de production. Nos équipes de développeurs (fullstack) travaillent en remote par module ultra spécialisés pour assurer une qualité de service et d'exécution haut de gamme.
Notre société est dématérialisée pour offrir à nos clients des tarifs compétitifs tout en réduisant au maximum notre empreinte carbone.
Nos expertises :
- L'axe communication : site web sur mesure et plateforme ecommerce, création d'applications métiers et mobiles (iOS et Android), SEO...
- L'axe digitalisation des industries : stratégies de développement via le numérique, optimisation des chaines de production, roadmaps de la phase de préproduction jusqu'au lancement d'un prototype (MVP), Prototype visuel et interactif, Prototype fonctionnel commercialisable, etc)
";https://www.esprittech.fr;0609034871;Services et conseil informatiques;2-10 employés;Nantes, Pays de la Loire;2020;Réseaux sociaux, Photographie, Vidéo montage , Applications métiers, Site web et e-commerce, SEO, Gestion de projet, Développement fullstack, Gestion des API et Maintenance applicative;Esprit Tech;https://www.linkedin.com/company/67988343/about/;6798Es
3;"Plus de 1 000 professionnels de voyage font confiance à nous pour réserver les meilleurs hôtels et activités aux tarifs de gros les plus bas pour leurs clients.

Inventaire mondial dynamique et étendu
Équipe efficace, efficiente et professionnelle
Vaste réseau de fournisseurs et de partenaires mondiaux soutenu par nos bureaux à destination.
Grâce à l’équipe organisée, vous recevrez une assistance clientèle sur mesure.
Assistance clientèle 24/24 et 7/7
Agents multilingues
";http://www.indafri.com;92 92 92 92;Organisations de voyages;11-50 employés;Sousse, Bab BHAR;2017;;INDAFRI TRAVEL AGENCY;https://www.linkedin.com/company/36078642/about/;3607IN
4;"In Japan, where the labour shortage is becoming more severe year by year due to the declining birthrate and ageing population, we will use AI and digital twins to solve the labour shortage in the manufacturing industry and support manufacturing. Labour shortage is an issue facing Japan and China, and many other developed countries in the future. 

RUTILEA will become a pioneer in solving labour shortages in the globally common field of manufacturing and become a platform to solve the world's manufacturing industry and the world's labour shortage. The mission of RUTILEA Corporation, ""Deliver the singularity of the future today"", aims to solve the world's labour shortage and realize a more prosperous society.



少子高齢化で労働力不足が年々、深刻になっていく日本で、AIとデジタルツインで製造業の人手不足を解決し、ものづくりを支えていきます。
　労働力不足は日本だけでなく、今後は中国や多くの先進国でも直面する課題です。
　製造業というグローバルに共通する分野で、労働力不足を解決する先駆者となり、世界の製造業、世界の労働力不足を解決するプラットフォーマーへ。

　株式会社RUTILEA（ルテリア）のミッション『未来のシンギュラリティを今日届ける』は、世界の労働力不足を解決し、より豊かな社会の実現を目指しています。";https://www.rutilea.com/;+81-75-746-2811;Fabrication de machines automatiques;51-200 employés;;2018;startups, project manager jobs, assistant engineer jobs, kyoto, software engineer jobs et hybrid jobs;Rutilea, Inc.;https://www.linkedin.com/company/76253416/about/;7625Ru
5;Telnet is a global provider of Offshore/Nearshore Product Development, with a partnering approach to service its customers in Europe. It has proven and well established outsourcing models. Telnet is also certified SEI CMMi Level 5 and ISO 9001 version 2008 with many active large multi national customers. Telnet has a seamless product engineering capabilities, ranging from embedded SW and electronic engineering, to microelectronic design and mechanical engineering.;http://www.groupe-telnet.com;;Conseil en sous-traitance et externalisation à l’étranger;201-500 employés;;1994;Software Engineering, Electronic and Microelectronic Design et Mechanical R&D;Telnet;https://www.linkedin.com/company/268397/about/;2683Te
6;"Cholet • Montréal • Tunis  • Le Mans


Ce que nous faisons ?

""Optimiser les échanges de données.""​

Depuis 40 ans, AGENA3000 facilite la vie de ses clients en quête de solutions performantes pour la gestion de leurs données. Toutes nos solutions sont agiles, sécurisées et conçues pour gagner du temps au quotidien.

En quelques mots :

› A3 PIM INDUSTRY et A3 PIM RETAIL : gestion et partage de l’information produit
› A3 EDI, A3 E-INVOICING et A3 E-PROCUREMENT : dématérialisation des échanges B2B
› A3 TPM : gestion et suivi des accords différés
› A3 ERP : gestion globale l'entreprise
› Content Management : services de création de visuels produits (photo studio, modélisation 3D, Mobile Ready Hero Image) et de digitalisation des données de l’emballage produit

Si vous êtes à la recherche d'un job, sachez que nous recrutons... Pour consulter nos offres d'emploi, c'est par ici › https://www.agena3000.com/nous-rejoindre

Inscrivez-vous à notre newsletter › https://bit.ly/2AKZhMz";https://www.agena3000.com;02 41 46 33 00;Développement de logiciels;51-200 employés;;1980;PIM, EDI, ERP, Data Management, Data pool, Content Management et TPM;AGENA3000;https://www.linkedin.com/company/5366204/about/;5366AG
7;Digit-U est une agence digitale orientée UX et UI. Forte de son expertise et de ses équipes chevronnées, elle conçoit et crée des applications mobiles et Web App ultra-spécifiques, dotées de fonctionnalités ingénieuses et ergonomiques. Digit-U développe des solutions digitales sur mesure pour une expérience utilisateur innovante et qualitative.;http://www.digit-u.com/;;Développement de logiciels;11-50 employés;Centre Urbain Nord, Tunis;2013;;Digit-U ;https://www.linkedin.com/company/27003828/about/;2700Di
8;"Délice Danone is a fresh dairy product company in Tunisia.

Délice Danone is part of Danone.
By any measure, Danone is one of the world’s biggest and most successful food companies. Danone brand portfolio includes trusted brands such as Danone, Evian, Aqua, Nutricia, Bledina, Dumex... 
Our products don't just give pleasure and health, we are actively exploring new business models that allow us to bring affordable nutrition to the billions of consumers in developing markets. It’s all part of Danone’s unique business vision – one that sees financial and social performance as inseparable, and equally worthy of our collective energies. 

In short, whether you look at our mission, our products or our people, Danone is a company that truly has something special inside... 

Visit Danone's company page to discover more about us – and to find out how you could be part of it all !";http://www.danone.com;;Services de restauration;501-1 000 employés;;;;Délice Danone;https://www.linkedin.com/company/2292762/about/;2292Dé
9;"► Enactus ESPRIT ICT is comprised of many dedicated students from a variety of disciplines who not only excel in their studies, but who also find time to volunteer within the community. Our purpose is to enable progress through entrepreneurial action, to bring together the top leaders of today and tomorrow to create a better and more sustainable world, instil the knowledge and to Inspire those to succeed.

• Entrepreneurial—initiating business ideas and solutions with passion and innovation.

• Action—the experience of sustainable impact, activated with integrity.

• Us—student, academic and business leaders collaborating to create a better world.

► Enactus ESPRIT ICT is part of a world-wide non-profit organization which stands for Entrepreneurial Action Us (Formerly SIFE – Students In Free Enterprise). By finding a need, perfecting an approach and creating a sustainable community outreach project, Enactus ESPRIT ICT is dedicated to bettering our community. Each project aims to make a positive economic, environmental, and social impact. We don’t provide hand-outs; we provide hand-ups. 

► Human progress depends on our ability to tap into the entrepreneurial spirit that lives within each of us and channel the unique talents, passions and ideas we each posses toward creating good in the world for us all.
";http://www.enactusesprit.org/;;Organisations à but non lucratif;51-200 employés;Ariana, Tunis;2013;;Enactus Esprit ICT;https://www.linkedin.com/company/18957220/about/;1895En
